explicit_sentence,pred,explicit_sentence_with_no_stopwords,scores
√äBe More Efficient at Work√ä Processing physical documents daily take a lot of effort.,0,√äBe Efficient Work√ä Processing physical documents daily take lot effort.,"[0.00846211239695549, 0.015405509620904922, 0.03205556422472, 0.0733967125415802, 0.06647190451622009, 0.20466023683547974, 0.1934979110956192, 0.2669034004211426, 0.4772360324859619, 1.1561676263809204]"
|| rail ||[}  elphinstone tunnel main melbourne to bendigo railway,0,|| rail ||[} elphinstone tunnel main melbourne bendigo railway,"[0.03683670237660408, 0.02263266034424305, 0.0453164279460907, 0.12280731648206711, 0.10268297791481018, 0.256557822227478, 0.33882108330726624, 0.6019614934921265, 1.3568326234817505]"
entertainmentgrendel alvarado √¢‚Ç¨‚Äú fashion model winner of philippines' next top modelpatricia alvarez - teen model of the runcav philippineserica arlante-yamakawa √¢‚Ç¨‚Äú pinoy big brother: unlimited (season 4) housematevickie rushton √¢‚Ç¨‚Äú pinoy big brother: all in 4th big placer housemate analyn barro filipina actress who became known after joining gma network√¢‚Ç¨‚Ñ¢s reality-based artista search starstruck season 6,0,entertainmentgrendel alvarado √¢‚Ç¨‚Äú fashion model winner philippines' next top modelpatricia alvarez - teen model runcav philippineserica arlante-yamakawa √¢‚Ç¨‚Äú pinoy big brother: unlimited (season 4) housematevickie rushton √¢‚Ç¨‚Äú pinoy big brother: 4th big placer housemate analyn barro filipina actress became known joining gma network√¢‚Ç¨‚Ñ¢s reality-based artista search starstruck season 6,"[2.8396340834291323e-11, 7.505865373680365e-11, 1.10018427221803e-05, 1.3647588614773554e-10, 4.134861697480119e-08, 4.739381109786223e-10, 6.663403162576742e-10, 1.167638319365949e-09, 3.6487137755614185e-09, 5.6079501042916036e-09, 9.559410152348846e-09, 1.389605319701559e-08, 2.5818241766728534e-08, 4.134861697480119e-08, 1.642301299398241e-07, 9.368116593577724e-08, 1.5035440981137072e-07, 1.10018427221803e-05, 2.040489016508218e-05, 0.0001972157770069316, 4.5285407395567745e-05, 1.5235374348776531e-06, 1.7629389503781567e-06, 3.808927203863277e-06, 4.040224666823633e-06, 6.866160219942685e-06, 1.10018427221803e-05, 2.040489016508218e-05, 0.0001972157770069316, 4.5285407395567745e-05, 9.964893979486078e-05, 0.0001972157770069316, 0.0002172142849303782, 0.0003736501093953848, 0.000758604786824435, 0.00194473285228014, 0.00276568834669888, 0.0026163067668676376, 0.004273838363587856, 0.00813501700758934, 0.016689371317625046, 0.03084489330649376, 0.07531652599573135, 0.14267225563526154, 0.3205421268939972, 0.42681393027305603, 0.6913290619850159, 0.931797981262207, 1.4542582035064697]"
The Volatility 3m is a similar percentage determined by the daily log normal returns and standard deviation of the share price over 3 months.,0,Volatility 3m similar percentage determined daily log normal returns standard deviation share price 3 months.,"[0.00035638402914628386, 0.0005410328158177435, 0.0009473040117882192, 0.0017925596330314875, 0.004443413577973843, 0.006784748286008835, 0.014313623309135437, 0.02541106380522251, 0.03323642164468765, 0.053244516253471375, 0.15215231478214264, 0.2554503381252289, 0.3660198152065277, 1.0101841688156128, 1.5980550050735474]"
√äThat means all firearms.,0,√äThat means firearms.,"[0.2768360376358032, 0.5232996940612793, 1.0887556076049805]"
"√äSign-up Unfortunately, this report is not available for the investor type or country you selected. ResearchPool Subscriptions Why subscribe?",0,"√äSign-up Unfortunately, report available investor type country selected. ResearchPool Subscriptions subscribe?","[0.004089561756700277, 0.009058522991836071, 0.01343884039670229, 0.027193712070584297, 0.056577932089567184, 0.12244588881731033, 0.20593591034412384, 0.29389455914497375, 0.4347003102302551, 0.6978999376296997, 1.2990179061889648]"
We assumed this to be related to the advancing central nervous system aspergillosis.,0,assumed related advancing central nervous system aspergillosis.,"[0.028289372101426125, 0.0601959303021431, 0.13275937736034393, 0.1611795574426651, 0.41966599225997925, 0.5929689407348633, 1.343809723854065]"
"√äInvestment Adviser at Wisejay Private LimitedBangalore, Karnataka How much control do you have on your investment returns? Or more appropriately, what aspects of your investment you can control to get better return?",0,"√äInvestment Adviser Wisejay Private LimitedBangalore, Karnataka much control investment returns? appropriately, aspects investment control get better return?","[0.00016526973922736943, 0.0002517224638722837, 0.000841597793623805, 0.0015288925496861339, 0.0018738682847470045, 0.0030132841784507036, 0.008351700380444527, 0.18458209931850433, 0.2003980278968811, 0.05913003161549568, 0.042135514318943024, 0.10068996250629425, 0.2003980278968811, 0.18458209931850433, 0.362173855304718, 0.793525218963623, 1.5189099311828613]"
23 Sep√ä FEE√ä The media praises Elizabeth Warren as the 2020 candidate with a plan for everything.,0,23 Sep√ä FEE√ä media praises Elizabeth Warren 2020 candidate plan everything.,"[0.001502028782851994, 0.004219903610646725, 0.0062235197983682156, 0.013956918381154537, 0.01865784078836441, 0.04135763272643089, 0.10974946618080139, 0.2927005887031555, 0.3709261417388916, 0.6101791858673096, 1.6795477867126465]"
- - Net Margins - Return on Equity - Return on Assets√ä - CBRE Group - 4.79% - 24.14% - 8.81%√ä - Retail Value - 8.64% - 3.30% - 1.17%√ä Dividends√ä Retail Value pays an annual dividend of $1.30 per share and has a dividend yield of 3.5%. CBRE Group does not pay a dividend.,0,- - Net Margins - Return Equity - Return Assets√ä - CBRE Group - 4.79% - 24.14% - 8.81%√ä - Retail Value - 8.64% - 3.30% - 1.17%√ä Dividends√ä Retail Value pays annual dividend $1.30 per share dividend yield 3.5%. CBRE Group pay dividend.,"[8.191607776097953e-05, 8.191607776097953e-05, 1.7492494119863977e-09, 1.6334593677669318e-09, 8.191607776097953e-05, 1.2238769109274017e-08, 5.901763078242084e-09, 8.191607776097953e-05, 1.2238769109274017e-08, 1.5572650724493542e-08, 8.191607776097953e-05, 0.12558190524578094, 0.3274845480918884, 8.191607776097953e-05, 2.868129627131566e-07, 8.191607776097953e-05, 7.023062380540068e-07, 8.191607776097953e-05, 2.679146973605384e-06, 8.191607776097953e-05, 0.0003528270754031837, 0.0006452532252296805, 8.191607776097953e-05, 3.041824311367236e-05, 8.191607776097953e-05, 2.3077585865394212e-05, 8.191607776097953e-05, 8.519137918483466e-05, 0.00022105633979663253, 0.0003528270754031837, 0.0006452532252296805, 0.0007529721478931606, 0.0012349419994279742, 0.031961649656295776, 0.002970141125842929, 0.00784451887011528, 0.011899315752089024, 0.031961649656295776, 0.035873353481292725, 0.07790188491344452, 0.12558190524578094, 0.3274845480918884, 0.5362579822540283, 1.2233742475509644]"
Two of the patients were infected with human immunodeficiency virus.,0,Two patients infected human immunodeficiency virus.,"[0.08118490874767303, 0.11978501081466675, 0.224807009100914, 0.544786274433136, 0.6419531106948853, 1.3449538946151733]"
906 secondsmediatelevisionfox sports covered their 18th race at the las vegas motor speedway,0,906 secondsmediatelevisionfox sports covered 18th race las vegas motor speedway,"[0.011375414207577705, 0.021790049970149994, 0.030917655676603317, 0.038995224982500076, 0.07832726091146469, 0.15466400980949402, 0.22428618371486664, 0.3611118793487549, 1.255974292755127, 1.3555631637573242]"
"On April 10, 2012, the CBC announced it would cancel the program as part of its budget cuts as a result of the 2012 Canadian federal budget.",0,"April 10, 2012, CBC announced would cancel program part budget cuts result 2012 Canadian federal budget.","[0.000346704269759357, 0.0006715906783938408, 0.0014993567019701004, 0.005457574501633644, 0.006128341890871525, 0.006927721668034792, 0.014907557517290115, 0.014729658141732216, 0.0233764685690403, 0.049424298107624054, 0.06097691133618355, 0.1047745794057846, 0.1722598522901535, 0.3156164884567261, 0.8875124454498291, 1.455815315246582]"
"Catheterization revealed 90% midstenosis of the left anterior descending artery, which was successfully treated with percutaneous transluminal coronary angioplasty (PTCA) and stent placement.",0,"Catheterization revealed 90% midstenosis left anterior descending artery, successfully treated percutaneous transluminal coronary angioplasty (PTCA) stent placement.","[0.0005376990884542465, 0.00037768756737932563, 0.00041203672299161553, 0.0006198337650857866, 0.0020637004636228085, 0.002319488674402237, 0.0019761985167860985, 0.00445985235273838, 0.011993025429546833, 0.01519903726875782, 0.024947747588157654, 0.048346661031246185, 0.13294927775859833, 0.21512830257415771, 0.3180798292160034, 0.611587643623352, 1.2118291854858398]"
the channelised nullah has a width of about 39 m,0,channelised nullah width 39,"[0.18067747354507446, 0.36546385288238525, 0.5062379837036133, 1.2659058570861816]"
√äLike us on Facebook and follow us on Twitter. FE Bureau,0,√äLike us Facebook follow us Twitter. FE Bureau,"[0.017312606796622276, 0.1423553079366684, 0.04613024741411209, 0.0872049406170845, 0.1423553079366684, 0.32659536600112915, 0.4615432322025299, 1.3967522382736206]"
He developed a painful symmetrical purpuric eruption over both feet after three days.,0,developed painful symmetrical purpuric eruption feet three days.,"[0.019228221848607063, 0.042332954704761505, 0.07278299331665039, 0.14861467480659485, 0.22072452306747437, 0.4344755709171295, 0.5080954432487488, 2.165433168411255]"
"Her hearing gradually, then completely returned 2-3 months after the vincristine therapy was discontinued.",0,"hearing gradually, completely returned 2-3 months vincristine therapy discontinued.","[0.014252928085625172, 0.024864355102181435, 0.061470914632081985, 0.10718152672052383, 0.13725519180297852, 0.16257691383361816, 0.29503536224365234, 0.7749943733215332, 1.2583677768707275]"
"Our success is due to our knowledge and experience, love for adventure, spirit of discovery, and a strong commitment to providing each guest with a memorable experience.",0,"success due knowledge experience, love adventure, spirit discovery, strong commitment providing guest memorable experience.","[0.0008298011962324381, 0.0018420328851789236, 0.002747194841504097, 0.003619987750425935, 0.004824482370167971, 0.00887110736221075, 0.01664372719824314, 0.015444944612681866, 0.04048638045787811, 0.07681003957986832, 0.16049952805042267, 0.3613152503967285, 0.6403105854988098, 1.566426396369934]"
"If crime is associated with guilt, the guilt lies at the heart of academic life, with its constant pressure to produce completely new, never-before-seen, awe-inspiring mathematics.",0,"crime associated guilt, guilt lies heart academic life, constant pressure produce completely new, never-before-seen, awe-inspiring mathematics.","[0.00025435356656089425, 0.00039735427708365023, 0.0005762696382589638, 0.0011317061726003885, 0.0017016397323459387, 0.0033931618090718985, 0.004946098662912846, 0.01176748238503933, 0.021458808332681656, 0.03181854262948036, 0.044910699129104614, 0.139496311545372, 0.2758820056915283, 0.4109818935394287, 0.6203017830848694, 1.113082766532898]"
"√äWe said from the start we would have a strong audit process and that has begun, James said.",0,"√äWe said start would strong audit process begun, James said.","[0.012595854699611664, 0.017612241208553314, 0.023803381249308586, 0.05554124340415001, 0.04183757305145264, 0.0903831422328949, 0.18630778789520264, 0.2657434344291687, 0.4888656437397003, 1.0452466011047363]"
"The company has license and collaboration agreement with Les Laboratoires Servier for the development, manufacture, and commercialization of products using its human immuno-oncology anti-PD-1 mAb STI-A1110. Sorrento Therapeutics, Inc. was founded in 2006 and is based in San Diego, California.",0,"company license collaboration agreement Les Laboratoires Servier development, manufacture, commercialization products using human immuno-oncology anti-PD-1 mAb STI-A1110. Sorrento Therapeutics, Inc. founded 2006 based San Diego, California.","[1.5191154716376332e-06, 9.128067972596909e-07, 2.0368358946143417e-06, 5.331179636414163e-06, 4.982757218385814e-06, 9.623124242352787e-06, 1.2159893231000751e-05, 3.649035716080107e-05, 6.0102567658759654e-05, 9.350112668471411e-05, 0.00014844645920675248, 0.0002483297430444509, 0.0005033923080191016, 0.0008622114546597004, 0.0017861209344118834, 0.0020269087981432676, 0.007001033518463373, 0.006218439433723688, 0.012117013335227966, 0.029550282284617424, 0.04303869605064392, 0.07298706471920013, 0.21055836975574493, 0.3170108497142792, 0.7472552061080933, 1.537786841392517]"
"Following CaEDTA therapy, continued recovery of conduction velocities, amplitude of compound muscle action potential, and diminution of conduction block at elbow were observed within a few months.",0,"Following CaEDTA therapy, continued recovery conduction velocities, amplitude compound muscle action potential, diminution conduction block elbow observed within months.","[7.946729601826519e-05, 0.0002052123163593933, 0.0002762051299214363, 0.00034848105860874057, 0.0006875839899294078, 0.09390225261449814, 0.0019504986703395844, 0.0025207973085343838, 0.008129733614623547, 0.013080975972115993, 0.027999060228466988, 0.03006749600172043, 0.0541650652885437, 0.09390225261449814, 0.1871069073677063, 0.4174010157585144, 0.4705486595630646, 1.4459891319274902, 1.689620852470398]"
"'That growth that we are seeing is largely the result of policy: monetary policy, fiscal policy, the measures to stabilize the financial system, Carney, 44, said... 'We have a ways to go before we are really going to see true growth, self- sustaining private sector growth.'""",0,"'That growth seeing largely result policy: monetary policy, fiscal policy, measures stabilize financial system, Carney, 44, said... 'We ways go really going see true growth, self- sustaining private sector growth.'""","[2.5234601963575187e-08, 7.362628906548707e-08, 7.897301657067146e-08, 1.263185964717195e-07, 3.432703863381903e-07, 7.096295462361013e-07, 8.724197186893434e-07, 7.389428901660722e-06, 3.934123924409505e-06, 7.389428901660722e-06, 1.155389691120945e-05, 1.778677869879175e-05, 3.9011389162624255e-05, 4.443692887434736e-05, 9.868622873909771e-05, 0.00020378529734443873, 0.0003744504938367754, 0.0006013439269736409, 0.0008538891561329365, 0.0013636719668284059, 0.002527391305193305, 0.005257598124444485, 0.012226351536810398, 0.016247130930423737, 0.031163591891527176, 0.05318863317370415, 0.10311268270015717, 0.24482877552509308, 0.5035107135772705, 1.4819673299789429]"
